index,id,kind,phase,strength,owner,internal_spec_line,file
1,front-matter.document-organization,conformance-statement,conformance,required,front-matter.document-organization,19,Compiler/Core/SpecificationTrace.uv
2,front-matter.feature-section-template,conformance-statement,conformance,required,front-matter.feature-section-template,77,Compiler/Core/SpecificationTrace.uv
3,front-matter.language-design-contract,conformance-statement,conformance,recommended,front-matter.language-design-contract,102,Compiler/Core/SpecificationTrace.uv
4,def.Conforming,formal-definition,conformance,required,conformance.definitions,151,Compiler/Core/ConformanceModel.uv
5,def.WF,formal-definition,conformance,required,conformance.definitions,166,Compiler/Core/ConformanceModel.uv
6,def.ReqJudgments,formal-definition,conformance,required,conformance.definitions,181,Compiler/Core/ConformanceModel.uv
7,def.Phase1Order,formal-definition,conformance,required,conformance.translation-phases,196,Compiler/Driver/Pipeline.uv
8,def.Phase2Order,formal-definition,conformance,required,conformance.translation-phases,211,Compiler/Driver/Pipeline.uv
9,def.Phase3Checks,formal-definition,conformance,required,conformance.translation-phases,226,Compiler/Driver/Pipeline.uv
10,def.Phase3Order,formal-definition,conformance,required,conformance.translation-phases,245,Compiler/Driver/Pipeline.uv
11,def.Phase4Order,formal-definition,conformance,required,conformance.translation-phases,259,Compiler/Driver/Pipeline.uv
12,def.TypeAndStatementNodes,formal-definition,conformance,required,conformance.constructs,274,Compiler/Core/ConformanceModel.uv
13,def.ItemKind,formal-definition,conformance,required,conformance.constructs,289,Compiler/Core/ConformanceModel.uv
14,def.TopDeclConstructs,formal-definition,conformance,required,conformance.constructs,311,Compiler/Core/ConformanceModel.uv
15,def.TypeCtor,formal-definition,conformance,required,conformance.constructs,325,Compiler/Core/ConformanceModel.uv
16,def.TypeConstructs,formal-definition,conformance,required,conformance.constructs,366,Compiler/Core/ConformanceModel.uv
17,def.PermissionConstructs,formal-definition,conformance,required,conformance.constructs,380,Compiler/Core/ConformanceModel.uv
18,def.ExprKind,formal-definition,conformance,required,conformance.constructs,399,Compiler/Core/ConformanceModel.uv
19,def.StmtKind,formal-definition,conformance,required,conformance.constructs,440,Compiler/Core/ConformanceModel.uv
20,def.ExprStmtConstructs,formal-definition,conformance,required,conformance.constructs,467,Compiler/Core/ConformanceModel.uv
21,def.CapConstructs,formal-definition,conformance,required,conformance.constructs,481,Compiler/Core/ConformanceModel.uv
22,def.Constructs,formal-definition,conformance,required,conformance.constructs,495,Compiler/Core/ConformanceModel.uv
23,Reject-IllFormed,formal-rule,conformance,required,conformance.rejection,509,Compiler/Core/BehaviorModel.uv
24,def.TranslationPhases,formal-definition,conformance,required,conformance.translation-phases,527,Compiler/Driver/Pipeline.uv
25,def.StaticJudgmentSet,formal-definition,conformance,required,conformance.behavior-types,544,Compiler/Core/BehaviorModel.uv
26,def.StaticRuleSet,formal-definition,conformance,required,conformance.behavior-types,558,Compiler/Core/BehaviorModel.uv
27,def.RuleShape,formal-definition,conformance,required,conformance.behavior-types,572,Compiler/Core/BehaviorModel.uv
28,def.JudgmentSubjectAndEnvironment,formal-definition,conformance,required,conformance.behavior-types,587,Compiler/Core/BehaviorModel.uv
29,def.RuleSubstitutions,formal-definition,conformance,required,conformance.behavior-types,602,Compiler/Core/BehaviorModel.uv
30,def.RuleApplies,formal-definition,conformance,required,conformance.behavior-types,616,Compiler/Core/BehaviorModel.uv
31,def.PremisesHold,formal-definition,conformance,required,conformance.behavior-types,630,Compiler/Core/BehaviorModel.uv
32,def.IllFormed,formal-definition,conformance,required,conformance.behavior-types,644,Compiler/Core/BehaviorModel.uv
33,def.StaticUndefined,formal-definition,conformance,required,conformance.undefinedness,658,Compiler/Core/BehaviorModel.uv
34,def.RuleDiagnosticIdentity,formal-definition,diagnostics,required,conformance.undefinedness,673,Compiler/Core/BehaviorModel.uv
35,def.RuleSectionIndex,formal-definition,diagnostics,required,conformance.undefinedness,689,Compiler/Core/BehaviorModel.uv
36,Static-Undefined,formal-rule,conformance,required,conformance.undefinedness,704,Compiler/Core/BehaviorModel.uv
37,Static-Undefined-NoCode,formal-rule,conformance,required,conformance.undefinedness,722,Compiler/Core/BehaviorModel.uv
38,def.OutsideConformance,formal-definition,conformance,required,conformance.outside-conformance,740,Compiler/Core/ConformanceModel.uv
