event	assembly	fields
output-start	ExpressionSemantics	kind=library;modules=1;emit_ir=none;target=x86_64-win64
codegen-context	ExpressionSemantics	status=ok;export_symbols=16;data_export_symbols=1;elapsed_ms=0
output-setup	ExpressionSemantics	status=ok;elapsed_ms=4
obj-module	ExpressionSemantics	module=ExpressionSemantics;status=ok;codegen_ms=23;obj_write_ms=1;ir_write_ms=0;llvm_emit_ms=0;ir_render_ms=0;opt_ms=0;target_ms=0;emit_setup_ms=0;emit_pass_ms=0;object_copy_ms=0;obj_bytes=8310;ir_bytes=0
obj-phase	ExpressionSemantics	status=ok;total=1;reused=0;rebuilt=1;elapsed_ms=25
ir-phase	ExpressionSemantics	status=ok;emit_ir=none;elapsed_ms=0
finalize-start	ExpressionSemantics	mode=link;output=C:/Dev/BlacklightFoundation/ultraviolet/HelloUltraviolet/Fixtures/AcceptedProjects/ExpressionSemantics/DirectBuild/Binary/ExpressionSemantics.dll;input_count=2
finalize-finish	ExpressionSemantics	mode=link;status=ok;elapsed_ms=165;diagnostics=0
sidecar-copy	ExpressionSemantics	kind=runtime;status=ok;elapsed_ms=12
sidecar-copy	ExpressionSemantics	kind=shared-library;status=ok;elapsed_ms=0
output-finish	ExpressionSemantics	status=ok;kind=library;objs=1;irs=0;obj_phase_ms=25;ir_phase_ms=0;finalize_ms=165;sidecar_ms=12;reused_final=false;elapsed_ms=210;artifact=C:/Dev/BlacklightFoundation/ultraviolet/HelloUltraviolet/Fixtures/AcceptedProjects/ExpressionSemantics/DirectBuild/Binary/ExpressionSemantics.dll
output-start	ExpressionSemantics	kind=library;modules=1;emit_ir=none;target=x86_64-win64
codegen-context	ExpressionSemantics	status=ok;export_symbols=16;data_export_symbols=1;elapsed_ms=0
output-setup	ExpressionSemantics	status=ok;elapsed_ms=0
obj-module	ExpressionSemantics	module=ExpressionSemantics;status=ok;codegen_ms=20;obj_write_ms=1;ir_write_ms=0;llvm_emit_ms=0;ir_render_ms=0;opt_ms=0;target_ms=0;emit_setup_ms=0;emit_pass_ms=0;object_copy_ms=0;obj_bytes=8310;ir_bytes=0
obj-phase	ExpressionSemantics	status=ok;total=1;reused=0;rebuilt=1;elapsed_ms=21
ir-phase	ExpressionSemantics	status=ok;emit_ir=none;elapsed_ms=0
finalize-start	ExpressionSemantics	mode=link;output=C:/Dev/BlacklightFoundation/ultraviolet/HelloUltraviolet/Fixtures/AcceptedProjects/ExpressionSemantics/DirectBuild/Binary/ExpressionSemantics.dll;input_count=2
finalize-finish	ExpressionSemantics	mode=link;status=ok;elapsed_ms=152;diagnostics=0
sidecar-copy	ExpressionSemantics	kind=runtime;status=ok;elapsed_ms=15
sidecar-copy	ExpressionSemantics	kind=shared-library;status=ok;elapsed_ms=0
