event	assembly	fields
output-start	PtrNullReturn	kind=library;modules=1;emit_ir=none;target=x86_64-win64
codegen-context	PtrNullReturn	status=ok;export_symbols=1;data_export_symbols=1;elapsed_ms=0
output-setup	PtrNullReturn	status=ok;elapsed_ms=2
obj-module	PtrNullReturn	module=PtrNullReturn;status=ok;codegen_ms=13;obj_write_ms=1;ir_write_ms=0;llvm_emit_ms=0;ir_render_ms=0;opt_ms=0;target_ms=0;emit_setup_ms=0;emit_pass_ms=0;object_copy_ms=0;obj_bytes=1824;ir_bytes=0
obj-phase	PtrNullReturn	status=ok;total=1;reused=0;rebuilt=1;elapsed_ms=15
ir-phase	PtrNullReturn	status=ok;emit_ir=none;elapsed_ms=0
finalize-start	PtrNullReturn	mode=link;output=C:/Dev/BlacklightFoundation/ultraviolet/HelloUltraviolet/Fixtures/AcceptedProjects/PtrNullReturn/DirectBuild/Binary/PtrNullReturn.dll;input_count=2
finalize-finish	PtrNullReturn	mode=link;status=ok;elapsed_ms=142;diagnostics=0
sidecar-copy	PtrNullReturn	kind=runtime;status=ok;elapsed_ms=13
sidecar-copy	PtrNullReturn	kind=shared-library;status=ok;elapsed_ms=0
output-finish	PtrNullReturn	status=ok;kind=library;objs=1;irs=0;obj_phase_ms=15;ir_phase_ms=0;finalize_ms=142;sidecar_ms=13;reused_final=false;elapsed_ms=175;artifact=C:/Dev/BlacklightFoundation/ultraviolet/HelloUltraviolet/Fixtures/AcceptedProjects/PtrNullReturn/DirectBuild/Binary/PtrNullReturn.dll
